Property_Name,Address,Prefix,Price,Sql_m2,Property Type,Property ID,Title,Original ID,Listed,Updated,Bedroom,Bathroom,Floor_Area,Land_Area,Floor,Image,Location,Url
WorldBridge Sport Village,"Win Blvd Win, Bak Kaeng, Chroy Changvar, Phnom Penh",For sale,"$62,993",$999/m²,,160373,Hard Title,,9 months ago,6 days ago,,,,,,"['https://images.realestate.com.kh/__sized__/listings/2021-09/c5eeceb5-4270-48be-b860-1b2c143f8fb0_woxcaxo_exiparf_u2fpyr7_dajdkql_cjxyoem_1ljuyzq_x4zvtej_FsR3CqC-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/view-3_yimpil9_4anDmlL-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/option-1_v2_ge4opym_ETjNQlC-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/7ea26344-4a73-40e9-89af-28e5dd6bd403_ltd3ya4_iztxipa_gnb6uyo_ggfdtpz_a8htzbw_kreol5l_8HLT2aS-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/worldbridge-sport-village-main-brochure_fa-120321-17-1_6zedrnc_5zv2r9w_fcuzktd_gzukmzk_ouqc537_fvjjb3q_lopnq3l_lss5v6o_gaaw40k_tcigcht_1bbbv7v_26jafka_u0fn29q_nk9uk8g_q5chbju_evvh60i_j9twnu8_sm1xqib_grjuhkw_va3han9_luus07x_vs_WSHueSD-thumbnail-400x300-70.jpeg']","{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Blvd Win'}, 'name': 'Win Blvd Win', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.689690503883618, 'longitude': 104.87842746322178, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Blvd Win'}}}",https://www.realestate.com.kh/new-developments/worldbridge-sport-village/
"3 Bed, 4 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$550,000",,Villa,139189,Hard Title,9528,1 year ago,1 week ago,3,4,120,120,,"['https://images.realestate.com.kh/__sized__/listings/2021-02/9528-01-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677952_tFzmj6Y-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677963_wGeBY3s-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677972_ienTWVg-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677981_ehxi0PU-thumbnail-400x300-70.jpeg']","{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}",https://www.realestate.com.kh/buy/svay-dankum/3-bed-4-bath-villa-139189/
"5 Bed, 4 Bath Villa for Sale in Chreav","Chreav, Siem Reap, Siem Reap",For sale,"$296,000",,Villa,196774,Hard Title,13263,1 month ago,1 week ago,5,4,,,,"['https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928057-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928058-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928059-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928062_SICPNNn-thumbnail-400x300-70.jpeg', 'https://img.youtube.com/vi/XL18uDmgrKg/0.jpg']","{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35613, 'longitude': 103.89469, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}",https://www.realestate.com.kh/buy/chreav/5-bed-4-bath-villa-196774/
"4 Bed, 5 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$635,000",,Villa,195868,,12263,2 months ago,1 week ago,4,5,,,,"['https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_99558061-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399226-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399229-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399231-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399232-thumbnail-400x300-70.jpeg']","{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}",https://www.realestate.com.kh/buy/svay-dankum/4-bed-5-bath-villa-195868/
"4 Bed, 3 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$700,000",,Villa,189972,Hard Title,11864,4 months ago,1 week ago,4,3,328,328,,"['https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154202-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154203-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154204-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154206-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154207-thumbnail-400x300-70.jpeg']","{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}",https://www.realestate.com.kh/buy/svay-dankum/4-bed-3-bath-villa-189972/
